company,patents_2010_2019,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
GFK,41,7,9,15,16,7,4,0,0,0,1
EPPENDORF,320,65,62,49,59,50,38,29,35,45,74
HUNTER DOUGLAS,280,56,51,63,59,61,54,64,58,73,62
LKAB,13,0,2,3,3,4,1,5,3,5,1
ENRICHMENT TECHNOLOGY,34,1,0,0,2,13,12,9,9,8,7
MIBA,244,30,37,31,32,26,30,27,39,47,71
SBM OFFSHORE,0,0,0,0,0,0,0,0,0,0,0
KAPSCH TRAFFICCOM,153,13,31,49,50,49,46,46,19,21,7
POSTEN NORDEN,2,0,0,0,0,0,0,0,1,1,1
BIC,330,75,77,63,63,60,71,55,62,82,103
ANGLO AMERICAN,11,1,1,1,0,0,1,1,5,4,6
KONECRANES,210,17,19,24,31,44,57,58,62,63,68
NOLATO,11,3,3,2,2,1,0,1,1,2,4
SSAB,18,2,2,3,1,4,3,5,8,9,11
METSALIITTO,19,2,9,5,12,17,26,21,23,4,13
OUTOKUMPU,108,21,20,16,19,24,42,24,33,26,31
AMARIN,32,8,12,12,14,17,15,11,13,13,14
JAMES HARDIE INDUSTRIES,0,0,0,0,0,0,0,0,0,0,0
CARRARO,54,15,10,10,8,8,6,5,5,8,6
DIASORIN,19,2,7,4,3,4,2,3,7,5,2
PHARMING,17,3,6,3,4,1,2,2,2,1,6
ACTIA,16,4,7,1,2,2,2,1,1,1,1
NAPP PHARMACEUTICAL,2,1,1,0,0,1,0,0,1,0,1
NATIONAL GRID,12,0,1,0,0,1,0,9,1,1,0
DE LA RUE,238,49,65,52,39,39,55,51,69,62,68
SCHALTBAU,42,6,3,8,9,8,16,11,9,7,8
BAUER,2890,601,561,548,397,306,214,231,271,278,252
ALLIED IRISH BANKS,0,0,0,0,0,0,0,0,0,0,0
FIVES,334,26,40,45,31,51,72,94,88,87,73
VETOQUINOL,15,7,5,5,2,1,5,2,2,5,5
K+S,38,3,3,5,6,8,6,9,3,9,18
ESI,27,3,9,8,5,6,2,2,6,6,4
HIKMA PHARMACEUTICALS,7,0,0,0,0,1,1,0,2,1,4
YIT,36,11,8,9,7,4,1,0,4,1,0
N BROWN,0,0,0,0,0,0,0,0,0,0,0
WEIR,257,56,62,54,57,43,45,45,59,49,49
SYMPHOGEN,34,17,21,16,10,6,9,5,8,10,6
ARUP,69,15,14,20,12,10,4,6,6,3,3
EVS BROADCAST EQUIPMENT,9,0,0,0,0,0,0,1,1,5,4
HUHTAMAKI,181,36,44,43,34,25,28,24,24,23,27
UPONOR,157,37,26,32,35,26,32,23,36,26,19
SDL,26,2,2,5,7,8,8,0,1,2,3
RECTICEL,68,20,22,19,12,10,10,15,12,9,7
