company,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
NIBE INDUSTRIER,3,2,1,2,0,0,0,2,0,1
RATIONAL,62,46,51,36,33,49,54,33,36,53
PRIMA INDUSTRIE,1,1,0,0,1,1,0,2,3,3
VITEC,7,5,2,1,5,5,8,12,9,8
TARKETT,22,20,23,32,29,23,35,41,36,34
MEDIGENE,22,19,11,8,6,5,8,8,9,9
ENEA,8,12,13,18,14,12,13,14,13,18
SEVERN TRENT,11,7,8,3,4,5,1,0,0,2
P&I PERSONAL & INFORMATIK,0,0,0,0,0,0,0,0,0,0
INMARSAT,2,3,2,0,1,1,1,3,5,2
CREDITO AGRICOLA,0,0,0,0,0,0,0,0,0,0
R STAHL,9,11,3,9,13,21,13,10,17,8
OTTO,12,4,12,8,8,7,7,7,6,6
SAF-HOLLAND,39,32,24,43,42,46,74,71,77,77
EL EN,7,3,4,2,3,5,3,4,7,7
NEDAP,13,9,15,9,8,2,5,9,7,8
MONDI,27,36,52,32,42,44,40,34,25,18
SVENSKA HANDELSBANKEN,0,0,0,0,0,0,0,0,0,0
ELIA SYSTEM OPERATOR,0,0,0,0,0,0,0,0,0,0
SENIOR,22,19,19,15,8,12,13,12,16,15
CERES POWER,1,0,0,1,0,0,0,0,0,0
SWEDISH MATCH,4,4,5,8,2,11,13,17,14,16
TKH,0,0,3,0,0,0,1,1,0,0
KENDRION,5,7,21,5,16,15,15,20,25,23
ISRA VISION,2,5,4,2,1,6,2,0,0,2
SPIRAX-SARCO ENGINEERING,0,0,0,0,0,0,0,0,0,0
ATRIA,0,1,0,0,3,1,0,0,0,1
BREMBO,40,39,34,34,40,46,45,74,58,74
FREENET,0,0,0,1,0,0,0,0,0,0
TIKKURILA,5,3,0,2,1,1,1,1,1,1
PRAYON,2,7,5,9,9,10,13,9,8,9
OXFORD NANOPORE TECHNOLOGIES,7,8,10,16,26,30,25,42,26,48
ROSENBAUER INTERNATIONAL,3,6,5,2,3,8,8,8,8,10
LECTRA,1,2,0,0,1,2,0,1,2,3
CARMAT,3,3,3,2,1,1,1,2,1,1
BEIJER ELECTRONICS,0,0,0,0,0,0,0,0,0,2
LINEDATA SERVICES,0,0,0,0,0,0,0,0,0,0
LUFTHANSA,31,29,38,55,58,66,39,44,44,41
PICANOL,29,29,18,13,11,11,21,17,17,23
AMINO TECHNOLOGIES,0,0,0,0,0,0,0,0,0,0
MASCHINENFABRIK BERTHOLD HERMLE,4,10,3,0,7,4,0,1,0,0
INTERPUMP,4,3,7,1,2,0,5,4,5,3
VILLEROY & BOCH,5,6,5,5,4,4,9,8,11,8
FISKARS,7,8,6,11,17,28,27,31,17,19
LABORATORIOS FARMACEUTICOS ROVI,5,7,5,5,8,6,7,7,8,7
ZEALAND PHARMA,12,19,18,21,23,26,26,20,22,26
JC DECAUX,1,3,6,13,10,14,9,6,14,13
AURUBIS,0,4,5,6,1,3,3,6,6,6
GW PHARMACEUTICALS,0,0,0,0,2,0,0,0,0,0
FAGERHULT,0,0,0,1,0,0,0,0,0,0
ETEX,7,7,5,12,9,9,17,24,45,46
LPKF LASER & ELECTRONICS,8,6,7,8,12,13,12,10,8,8
AB SCIENCE,7,12,12,7,12,11,10,13,7,3
FRANCOTYP-POSTALIA,16,20,16,8,11,5,8,2,11,6
KEDRION,4,4,3,3,3,2,1,3,2,1
GFI INFORMATIQUE,0,0,0,0,1,0,0,1,1,0
NORBROOK LABORATORIES,6,8,5,12,7,12,7,4,3,4
MENSCH UND MASCHINE SOFTWARE,0,0,0,0,0,0,0,0,0,0
FABASOFT,0,0,0,0,0,0,0,0,0,0
TT ELECTRONICS,2,1,0,2,0,1,1,3,6,7
PFEIFFER VACUUM TECHNOLOGY,18,15,15,11,25,49,57,30,28,58
GENFIT,5,9,9,10,7,6,5,12,18,21
RATOS,0,0,0,0,0,0,0,0,0,0
OXFORD BIOMEDICA,15,13,5,5,3,6,5,6,1,6
GRIFOLS,20,22,27,34,37,42,42,45,36,36
DECHRA PHARMACEUTICALS,0,0,0,0,0,0,0,0,0,0
AZKOYEN,9,5,7,8,3,2,2,2,1,1
STATPRO,0,0,0,0,0,0,0,0,0,0
BWT,1,2,5,11,8,11,12,8,20,19
SYSTEMAIR,1,0,0,0,2,1,2,6,3,4
AAREAL BANK,0,0,0,0,0,0,0,0,0,0
OCADO,0,0,0,1,5,13,26,37,43,49
GENERIX,0,0,0,0,0,0,0,0,0,0
ATOSS SOFTWARE,0,0,0,0,0,0,0,0,0,0
VICTREX,7,5,5,4,4,9,14,13,11,10
ROTORK,1,1,1,5,2,3,5,5,4,5
INDUTRADE,0,0,0,0,0,0,0,0,0,0
KINGSPAN,22,28,18,26,24,20,8,8,6,12
